"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","273","Get file with incorrect file id","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","556","Login with correct email and password","LMS service","2026-08-26","passed","2026-08-26","Login","Authentication","",""
"","531","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","269","Create file with empty directory","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-08-26","passed","2026-08-26","Get entity","Users","",""
"","17","Get exercises","LMS service","2026-08-26","passed","2026-08-26","Get entities","Exercises","",""
"","288","Get exercise","LMS service","2026-08-26","passed","2026-08-26","Get entity","Exercises","",""
"","313","Update course","LMS service","2026-08-26","passed","2026-08-26","Update entity","Courses","",""
"","28","Delete file","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Files","",""
"","24","Update exercise","LMS service","2026-08-26","passed","2026-08-26","Update entity","Exercises","",""
"","17","Get file","LMS service","2026-08-26","passed","2026-08-26","Get entity","Files","",""
"","25","Delete exercise","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Exercises","",""
"","268","Create file with empty filename","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","319","Create file","LMS service","2026-08-26","passed","2026-08-26","Create entity","Files","",""
"","291","Create exercise","LMS service","2026-08-26","passed","2026-08-26","Create entity","Exercises","",""
"","292","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","559","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","34","Create course","LMS service","2026-08-26","passed","2026-08-26","Create entity","Courses","",""
"","27","Get courses","LMS service","2026-08-26","passed","2026-08-26","Get entities","Courses","",""
