"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","18","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","556","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","552","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","269","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","304","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","31","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","14","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","296","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","562","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","24","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","52","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
"","291","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","304","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","14","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
"","22","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","266","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","27","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
"","30","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
