"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","14","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","283","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","16","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","25","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","19","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","22","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","247","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","21","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","285","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
"","273","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","272","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","26","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","27","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","19","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
"","14","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
"","527","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","27","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
"","500","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
