"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Create file with empty directory","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","29","Create course","LMS service","2026-08-06","passed","2026-08-06","Create entity","Courses","",""
"","307","Get file with incorrect file id","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","622","Login with correct email and password","LMS service","2026-08-06","passed","2026-08-06","Login","Authentication","",""
"","602","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","323","Delete exercise","LMS service","2026-08-06","passed","2026-08-06","Delete entity","Exercises","",""
"","327","Update exercise","LMS service","2026-08-06","passed","2026-08-06","Update entity","Exercises","",""
"","25","Get courses","LMS service","2026-08-06","passed","2026-08-06","Get entities","Courses","",""
"","341","Update course","LMS service","2026-08-06","passed","2026-08-06","Update entity","Courses","",""
"","303","Create file with empty filename","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-08-06","passed","2026-08-06","Get entity","Users","",""
"","320","Get file","LMS service","2026-08-06","passed","2026-08-06","Get entity","Files","",""
"","14","Get exercises","LMS service","2026-08-06","passed","2026-08-06","Get entities","Exercises","",""
"","326","Create exercise","LMS service","2026-08-06","passed","2026-08-06","Create entity","Exercises","",""
"","25","Delete file","LMS service","2026-08-06","passed","2026-08-06","Delete entity","Files","",""
"","327","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","15","Get exercise","LMS service","2026-08-06","passed","2026-08-06","Get entity","Exercises","",""
"","631","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","634","Create file","LMS service","2026-08-06","passed","2026-08-06","Create entity","Files","",""
