"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
"","26","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","563","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","23","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","541","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","268","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","23","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","15","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
"","565","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","307","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","32","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","30","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","264","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","296","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","557","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","35","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
"","15","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","271","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","321","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
