"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","304","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","47","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","25","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","13","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","16","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
"","329","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","630","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","12","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","15","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","17","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","627","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","627","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","336","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","301","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","619","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","21","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","21","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","324","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
