"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","Get courses","LMS service","2026-08-27","passed","2026-08-27","Get entities","Courses","",""
"","53","Create file","LMS service","2026-08-27","passed","2026-08-27","Create entity","Files","",""
"","328","Delete file","LMS service","2026-08-27","passed","2026-08-27","Delete entity","Files","",""
"","20","Delete exercise","LMS service","2026-08-27","passed","2026-08-27","Delete entity","Exercises","",""
"","628","Create user","LMS service","2026-08-27","passed","2026-08-27","Create entity","Users","",""
"","21","Get exercise","LMS service","2026-08-27","passed","2026-08-27","Get entity","Exercises","",""
"","303","Create file with empty directory","LMS service","2026-08-27","passed","2026-08-27","Validate entity","Files","",""
"","304","Get file with incorrect file id","LMS service","2026-08-27","passed","2026-08-27","Validate entity","Files","",""
"","618","Create user","LMS service","2026-08-27","passed","2026-08-27","Create entity","Users","",""
"","15","Get exercises","LMS service","2026-08-27","passed","2026-08-27","Get entities","Exercises","",""
"","622","Login with correct email and password","LMS service","2026-08-27","passed","2026-08-27","Login","Authentication","",""
"","22","Update exercise","LMS service","2026-08-27","passed","2026-08-27","Update entity","Exercises","",""
"","15","Create file with empty filename","LMS service","2026-08-27","passed","2026-08-27","Validate entity","Files","",""
"","347","Update course","LMS service","2026-08-27","passed","2026-08-27","Update entity","Courses","",""
"","30","Create course","LMS service","2026-08-27","passed","2026-08-27","Create entity","Courses","",""
"","11","Get user me","LMS service","2026-08-27","passed","2026-08-27","Get entity","Users","",""
"","23","Create exercise","LMS service","2026-08-27","passed","2026-08-27","Create entity","Exercises","",""
"","14","Get file","LMS service","2026-08-27","passed","2026-08-27","Get entity","Files","",""
"","324","Create user","LMS service","2026-08-27","passed","2026-08-27","Create entity","Users","",""
