"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","18","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","289","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","303","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","21","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","532","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","568","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
"","24","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","17","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","15","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","22","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","288","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","288","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","27","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","271","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","30","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
"","14","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
"","22","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
