"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","25","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","268","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","565","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","308","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","290","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","21","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
"","530","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","298","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","290","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","33","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","578","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","47","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
"","286","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","270","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","17","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","287","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","269","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","287","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
