"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","270","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","21","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","14","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
"","17","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","265","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","536","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","15","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","24","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","31","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","289","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","22","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","293","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
"","31","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
"","306","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","20","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","319","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
"","554","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","556","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
