"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","322","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","349","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
"","307","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","27","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","16","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
"","600","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","335","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","334","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
"","299","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","330","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","26","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","16","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","345","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","325","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","625","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","627","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","321","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","324","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
"","307","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
