"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Create exercise","LMS service","2026-08-25","passed","2026-08-25","Create entity","Exercises","",""
"","20","Get exercise","LMS service","2026-08-25","passed","2026-08-25","Get entity","Exercises","",""
"","14","Get file","LMS service","2026-08-25","passed","2026-08-25","Get entity","Files","",""
"","286","Get exercises","LMS service","2026-08-25","passed","2026-08-25","Get entities","Exercises","",""
"","270","Create file with empty filename","LMS service","2026-08-25","passed","2026-08-25","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-08-25","passed","2026-08-25","Get entity","Users","",""
"","530","Create user","LMS service","2026-08-25","passed","2026-08-25","Create entity","Users","",""
"","557","Login with correct email and password","LMS service","2026-08-25","passed","2026-08-25","Login","Authentication","",""
"","263","Create file with empty directory","LMS service","2026-08-25","passed","2026-08-25","Validate entity","Files","",""
"","24","Delete file","LMS service","2026-08-25","passed","2026-08-25","Delete entity","Files","",""
"","317","Create file","LMS service","2026-08-25","passed","2026-08-25","Create entity","Files","",""
"","268","Get file with incorrect file id","LMS service","2026-08-25","passed","2026-08-25","Validate entity","Files","",""
"","292","Delete exercise","LMS service","2026-08-25","passed","2026-08-25","Delete entity","Exercises","",""
"","30","Get courses","LMS service","2026-08-25","passed","2026-08-25","Get entities","Courses","",""
"","561","Create user","LMS service","2026-08-25","passed","2026-08-25","Create entity","Users","",""
"","290","Create user","LMS service","2026-08-25","passed","2026-08-25","Create entity","Users","",""
"","24","Update exercise","LMS service","2026-08-25","passed","2026-08-25","Update entity","Exercises","",""
"","310","Update course","LMS service","2026-08-25","passed","2026-08-25","Update entity","Courses","",""
"","34","Create course","LMS service","2026-08-25","passed","2026-08-25","Create entity","Courses","",""
