"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","Create file with empty directory","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","560","Login with correct email and password","LMS service","2026-08-12","passed","2026-08-12","Login","Authentication","",""
"","294","Create exercise","LMS service","2026-08-12","passed","2026-08-12","Create entity","Exercises","",""
"","309","Update course","LMS service","2026-08-12","passed","2026-08-12","Update entity","Courses","",""
"","585","Create file","LMS service","2026-08-12","passed","2026-08-12","Create entity","Files","",""
"","285","Get file","LMS service","2026-08-12","passed","2026-08-12","Get entity","Files","",""
"","290","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","295","Delete exercise","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Exercises","",""
"","25","Update exercise","LMS service","2026-08-12","passed","2026-08-12","Update entity","Exercises","",""
"","33","Get courses","LMS service","2026-08-12","passed","2026-08-12","Get entities","Courses","",""
"","531","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","22","Get exercise","LMS service","2026-08-12","passed","2026-08-12","Get entity","Exercises","",""
"","269","Create file with empty filename","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","553","Create user","LMS service","2026-08-12","passed","2026-08-12","Create entity","Users","",""
"","31","Create course","LMS service","2026-08-12","passed","2026-08-12","Create entity","Courses","",""
"","272","Get file with incorrect file id","LMS service","2026-08-12","passed","2026-08-12","Validate entity","Files","",""
"","24","Delete file","LMS service","2026-08-12","passed","2026-08-12","Delete entity","Files","",""
"","19","Get exercises","LMS service","2026-08-12","passed","2026-08-12","Get entities","Exercises","",""
"","15","Get user me","LMS service","2026-08-12","passed","2026-08-12","Get entity","Users","",""
