"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","363","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","20","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
"","579","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","453","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","24","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","25","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","16","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","27","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","12","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","31","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","18","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
"","129","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","206","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","12","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","268","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","1088","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","519","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","734","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
