"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Update course","LMS service","2026-08-06","passed","2026-08-06","Update entity","Courses","",""
"","273","Get file with incorrect file id","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","16","Get file","LMS service","2026-08-06","passed","2026-08-06","Get entity","Files","",""
"","554","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","286","Get exercise","LMS service","2026-08-06","passed","2026-08-06","Get entity","Exercises","",""
"","21","Delete file","LMS service","2026-08-06","passed","2026-08-06","Delete entity","Files","",""
"","313","Create file","LMS service","2026-08-06","passed","2026-08-06","Create entity","Files","",""
"","291","Get exercises","LMS service","2026-08-06","passed","2026-08-06","Get entities","Exercises","",""
"","555","Login with correct email and password","LMS service","2026-08-06","passed","2026-08-06","Login","Authentication","",""
"","13","Get user me","LMS service","2026-08-06","passed","2026-08-06","Get entity","Users","",""
"","267","Create file with empty filename","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","290","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","23","Update exercise","LMS service","2026-08-06","passed","2026-08-06","Update entity","Exercises","",""
"","294","Create exercise","LMS service","2026-08-06","passed","2026-08-06","Create entity","Exercises","",""
"","20","Delete exercise","LMS service","2026-08-06","passed","2026-08-06","Delete entity","Exercises","",""
"","270","Create file with empty directory","LMS service","2026-08-06","passed","2026-08-06","Validate entity","Files","",""
"","534","Create user","LMS service","2026-08-06","passed","2026-08-06","Create entity","Users","",""
"","31","Get courses","LMS service","2026-08-06","passed","2026-08-06","Get entities","Courses","",""
"","29","Create course","LMS service","2026-08-06","passed","2026-08-06","Create entity","Courses","",""
